gpu-0,"ASUS ROG Strix RTX 4090 OC",gpu,195000,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=GPU","{""memory"":""24GB GDDR6X"",""length"":357,""tdp"":450,""pcie_slots"":3.5}",2025-11-30T10:00:00Z
gpu-1,"Gigabyte RTX 4090 Gaming OC",gpu,175000,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=GPU","{""memory"":""24GB GDDR6X"",""length"":340,""tdp"":450,""pcie_slots"":3}",2025-11-30T10:00:00Z
gpu-2,"MSI RTX 4090 Suprim X",gpu,185000,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=GPU","{""memory"":""24GB GDDR6X"",""length"":336,""tdp"":450,""pcie_slots"":3.5}",2025-11-30T10:00:00Z
gpu-3,"Zotac RTX 4090 AMP Extreme AIRO",gpu,169999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=GPU","{""memory"":""24GB GDDR6X"",""length"":356,""tdp"":450,""pcie_slots"":3.5}",2025-11-30T10:00:00Z
gpu-4,"MSI RTX 4080 Super Gaming X Slim",gpu,105000,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=GPU","{""memory"":""16GB GDDR6X"",""length"":322,""tdp"":320,""pcie_slots"":3}",2025-11-30T10:00:00Z
gpu-5,"ASUS TUF Gaming RTX 4080 Super",gpu,108999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=GPU","{""memory"":""16GB GDDR6X"",""length"":348,""tdp"":320,""pcie_slots"":3.2}",2025-11-30T10:00:00Z
gpu-6,"Zotac RTX 4070 Ti Super Trinity",gpu,79999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=GPU","{""memory"":""16GB GDDR6X"",""length"":307,""tdp"":285,""pcie_slots"":2.5}",2025-11-30T10:00:00Z
gpu-7,"Gigabyte RTX 4070 Ti Super Windforce",gpu,76999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=GPU","{""memory"":""16GB GDDR6X"",""length"":261,""tdp"":285,""pcie_slots"":2.5}",2025-11-30T10:00:00Z
gpu-8,"ASUS Dual RTX 4070 Super",gpu,62999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=GPU","{""memory"":""12GB GDDR6X"",""length"":267,""tdp"":220,""pcie_slots"":2.5}",2025-11-30T10:00:00Z
gpu-9,"MSI RTX 4070 Super Ventus 2X",gpu,59999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=GPU","{""memory"":""12GB GDDR6X"",""length"":242,""tdp"":220,""pcie_slots"":2}",2025-11-30T10:00:00Z
